Date,Streamflow
2/28/2010,694.795
3/31/2010,1239.367
4/30/2010,1320.131
5/31/2010,2178.449
6/30/2010,1417.489
7/31/2010,2073.317
8/31/2010,2279.02
9/30/2010,2386.564
10/31/2010,1346.789
11/30/2010,769.548
12/31/2010,667.295
1/31/2011,598.312
2/28/2011,473.853
3/31/2011,660.576
4/30/2011,575.908
5/31/2011,1028.81675
6/30/2011,1346.914
7/31/2011,1666.357
8/31/2011,2579.336
9/30/2011,2408.391
10/31/2011,1397.784
11/30/2011,874.465
12/31/2011,679.839
1/31/2012,464.071
2/29/2012,280.337
3/31/2012,246.503
4/30/2012,795.711
5/31/2012,827.264
6/30/2012,975.796
7/31/2012,1912.785
8/31/2012,2252.001
9/30/2012,2760.475
10/31/2012,1636.296
11/30/2012,871.038
12/31/2012,656.165
1/31/2013,447.278
2/28/2013,284.741
3/31/2013,557.991
4/30/2013,703.531
5/31/2013,980.236
6/30/2013,1270.66
7/31/2013,2032.123
8/31/2013,2620.519
9/30/2013,2624.075
10/31/2013,2265.052
11/30/2013,1066.79
12/31/2013,629.869
1/31/2014,395.175
2/28/2014,566.709
3/31/2014,567.717
4/30/2014,707.89
5/31/2014,1429.229
6/30/2014,1145.138
7/31/2014,1477.442
8/31/2014,2389.918
9/30/2014,2789.24
10/31/2014,3061.507
11/30/2014,1308.495
12/31/2014,807.197
1/31/2015,154.9091965
2/28/2015,329.3048901
3/31/2015,608.327
4/30/2015,906.4275
5/31/2015,648.251
6/30/2015,924.412
7/31/2015,1312.0915
8/31/2015,1840.55525
9/30/2015,2124.071875
10/31/2015,2588.7875
11/30/2015,1035.584125
12/31/2015,70.46157894
1/31/2016,286.0652016
2/29/2016,342.4843415
3/31/2016,509.9429451
4/30/2016,644.4372225
5/31/2016,770.149125
6/30/2016,772.234125
7/31/2016,806.500375
8/31/2016,1305.469063
9/30/2016,1623.73825
10/31/2016,2012.039938
11/30/2016,171.5219997
12/31/2016,187.0106587
1/31/2017,289.0557888
2/28/2017,329.4019008
3/31/2017,467.3406433
4/30/2017,594.7372904
5/31/2017,596.4520838
6/30/2017,661.6067294
7/31/2017,787.2085625
8/31/2017,1053.580406
9/30/2017,1231.667203
10/31/2017,1492.976563
11/30/2017,139.184203
12/31/2017,143.247797
1/31/2018,312.9992655
2/28/2018,327.7905396
3/31/2018,439.498272
4/30/2018,512.3551518
5/31/2018,550.3009668
6/30/2018,563.0236828
7/31/2018,648.2914066
8/31/2018,858.5200939
9/30/2018,967.9344454
10/31/2018,1163.412523
11/30/2018,139.184203
12/31/2018,143.247797
1/31/2019,263.8260923
2/28/2019,296.5415477
3/31/2019,424.7714058
4/30/2019,471.8535491
5/31/2019,495.1887119
6/30/2019,503.6975789
7/31/2019,575.9243248
8/31/2019,718.7498266
9/30/2019,789.1476189
10/31/2019,932.4883712
11/30/2019,139.184203
12/31/2019,143.247797
1/31/2020,242.5051717
2/29/2020,274.8606541
3/31/2020,401.7834768
4/30/2020,429.5083073
5/31/2020,467.5744775
6/30/2020,460.7876331
7/31/2020,518.7051454
8/31/2020,620.1601061
9/30/2020,664.0931972
10/31/2020,771.7772042
11/30/2020,139.184203
12/31/2020,143.247797
